                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6349,                 1.9982,                 1.1768,                 0.8088,                0.59572,                0.66928,                0.40052,                 1.3314,                 1.2272,                 1.0416,             0.00066468,             0.00066468,             0.00066468
                      2,                 1.6786,                 1.3822,                 1.1893,                0.67071,                0.49443,                0.53817,                0.30908,                 1.4487,                 1.4835,                  1.157,              0.0013182,              0.0013182,              0.0013182
                      3,                 1.6974,                  1.294,                 1.2062,                 0.6037,                 0.5076,                0.48203,                0.27425,                 1.4463,                 1.4654,                 1.1237,              0.0019585,              0.0019585,              0.0019585
                      4,                 1.6735,                  1.223,                 1.1833,                0.81607,                0.63832,                0.69227,                0.41387,                 1.2704,                 1.0751,                 1.0667,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6193,                 1.1437,                 1.1767,                0.81779,                0.66392,                0.70696,                0.44452,                 1.2284,                  1.025,                 1.0529,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5935,                   1.11,                 1.1478,                0.86948,                0.67376,                0.73194,                0.44798,                 1.3148,                0.95808,                 1.0681,               0.001901,               0.001901,               0.001901
                      7,                  1.566,                 1.0623,                 1.1497,                0.88365,                0.67477,                0.76247,                0.47941,                 1.1822,                0.93248,                 1.0192,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5596,                 1.0701,                 1.1377,                0.88722,                0.70314,                0.77109,                0.46457,                  1.209,                0.90295,                 1.0286,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5316,                 1.0085,                 1.1266,                0.86931,                0.71935,                0.76892,                0.48729,                 1.1682,                0.87459,                 1.0276,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5267,                 1.0014,                 1.1262,                0.90892,                0.71787,                0.77735,                0.49412,                 1.2022,                0.84476,                 1.0274,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5233,                0.97374,                 1.1261,                0.89514,                0.70618,                0.78827,                0.51196,                 1.1562,                0.79469,                 1.0207,               0.001802,               0.001802,               0.001802
                     12,                 1.4999,                0.96042,                 1.1131,                0.91319,                0.71429,                0.79212,                0.50328,                 1.2334,                0.80074,                 1.0172,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4768,                0.93992,                 1.1068,                0.87825,                 0.7234,                0.77557,                0.48979,                 1.1436,                0.84151,                 1.0044,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4855,                0.95909,                 1.1043,                0.91936,                0.71834,                0.78847,                 0.5213,                 1.1099,                 0.7887,                 1.0087,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4729,                0.93228,                 1.0968,                0.90374,                0.73246,                0.78799,                0.50478,                 1.0917,                0.82094,                0.98503,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4479,                0.91877,                 1.0953,                0.91639,                0.74404,                0.80964,                0.52785,                 1.1044,                0.76231,                0.98753,               0.001703,               0.001703,               0.001703
                     17,                 1.4563,                0.90649,                  1.101,                0.91014,                0.74468,                0.80475,                0.52465,                 1.1006,                0.77968,                0.99164,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4516,                0.91294,                 1.1119,                0.91424,                0.73449,                 0.8016,                0.51645,                 1.1107,                0.77822,                 1.0016,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.439,                0.88614,                 1.0904,                0.89605,                0.75105,                0.80197,                0.51519,                 1.1179,                 0.7717,                 1.0028,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4205,                0.87958,                 1.0885,                0.91823,                0.75095,                0.82167,                 0.5345,                 1.0746,                0.70697,                0.98562,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.431,                0.86835,                 1.0911,                0.90992,                0.74708,                0.80798,                0.53374,                 1.0916,                0.72342,                      1,               0.001604,               0.001604,               0.001604
                     22,                  1.417,                0.86032,                 1.0869,                0.89244,                0.75177,                0.80484,                0.52686,                  1.103,                0.75222,                0.98565,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4152,                0.85754,                 1.0893,                0.92432,                0.76089,                0.81853,                0.52713,                 1.0806,                0.71003,                0.98696,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3877,                 0.8386,                 1.0799,                0.90834,                0.77309,                0.82491,                0.55182,                 1.0516,                0.70283,                0.97489,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4041,                0.83875,                 1.0808,                0.90994,                0.75684,                0.82043,                0.53482,                 1.0821,                0.69555,                0.98356,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4057,                0.84371,                 1.0737,                0.92705,                0.75177,                0.81027,                0.53428,                 1.0543,                0.73534,                0.97843,               0.001505,               0.001505,               0.001505
                     27,                 1.3845,                0.83656,                 1.0695,                 0.9034,                 0.7619,                0.81905,                0.53456,                 1.0916,                0.69683,                0.97666,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3951,                0.83192,                 1.0717,                0.93162,                0.75919,                0.82996,                0.54749,                 1.0558,                0.69351,                0.97726,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3816,                0.82154,                 1.0707,                0.92309,                0.76089,                0.82206,                0.55681,                 1.0149,                0.68038,                0.95898,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3757,                0.80769,                  1.074,                 0.9205,                0.76393,                0.82552,                0.54934,                 1.0687,                0.70903,                0.97218,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3758,                0.80539,                 1.0691,                 0.9226,                0.77508,                0.83274,                0.54505,                 1.0819,                 0.6808,                0.97606,               0.001406,               0.001406,               0.001406
                     32,                 1.3741,                0.81116,                 1.0708,                0.92381,                0.77393,                0.83176,                0.55831,                 1.0385,                0.66609,                0.96736,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3588,                 0.7845,                 1.0749,                0.92896,                0.76843,                0.83425,                 0.5526,                 1.0264,                0.67038,                0.96903,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3549,                0.79129,                 1.0621,                0.91113,                0.77906,                0.83817,                0.56856,                 1.0162,                0.63984,                0.96034,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3587,                0.79209,                 1.0589,                0.93008,                0.76824,                0.82895,                0.56431,                 1.0074,                0.64709,                0.95487,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3357,                0.77113,                  1.058,                0.92722,                0.78741,                0.83697,                0.55701,                 1.0342,                0.63438,                0.96121,               0.001307,               0.001307,               0.001307
                     37,                 1.3453,                0.78455,                 1.0561,                0.94347,                0.76095,                0.83598,                0.56278,                 1.0173,                0.63769,                0.96701,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3215,                0.76165,                 1.0528,                0.92364,                0.78116,                0.84452,                 0.5618,                 1.0652,                0.62338,                0.96507,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3269,                0.75975,                 1.0534,                0.93189,                0.76798,                0.84065,                0.56503,                 1.0251,                0.62202,                0.96597,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3451,                0.76941,                 1.0546,                0.93374,                0.77094,                0.83187,                0.56602,                 1.0097,                0.64958,                0.95193,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3264,                0.76123,                 1.0498,                0.94081,                0.77294,                0.84458,                0.57487,                  0.993,                0.61952,                0.95917,               0.001208,               0.001208,               0.001208
                     42,                 1.3229,                 0.7451,                 1.0534,                0.94249,                0.77609,                0.83285,                0.56205,                 1.0092,                0.63167,                 0.9603,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3256,                0.75588,                 1.0542,                0.94982,                0.76708,                0.83857,                0.56553,                 1.0306,                0.62639,                0.96503,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3163,                0.74748,                 1.0556,                0.93641,                0.77102,                0.83848,                0.56322,                 1.0173,                0.63151,                0.96514,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3146,                0.74581,                 1.0546,                0.94798,                0.77541,                0.84721,                0.56923,                 1.0215,                0.62101,                0.96137,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3169,                0.73898,                 1.0523,                0.94526,                0.77102,                0.83934,                0.57384,                0.99144,                0.61865,                0.95303,               0.001109,               0.001109,               0.001109
                     47,                 1.2978,                 0.7267,                 1.0479,                0.93071,                0.78521,                0.84414,                0.57708,                0.99147,                 0.6079,                0.95482,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3089,                0.72846,                 1.0422,                0.93506,                0.78116,                  0.842,                  0.564,                 1.0134,                0.62643,                 0.9597,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3033,                0.73271,                 1.0409,                0.94156,                0.78354,                0.84126,                0.56116,                 1.0234,                0.64903,                0.95353,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2804,                0.71977,                 1.0336,                0.93762,                0.79192,                0.84795,                0.57674,                 1.0103,                0.60458,                0.95814,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2908,                0.71459,                 1.0422,                0.94602,                0.78127,                0.84293,                0.57236,                 1.0113,                0.62089,                0.95324,                0.00101,                0.00101,                0.00101
                     52,                 1.2961,                0.72718,                 1.0366,                0.93797,                 0.7771,                0.84187,                0.57439,                0.98772,                 0.6022,                0.94674,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2898,                0.71267,                 1.0403,                0.91905,                0.79129,                0.83799,                0.56689,                 0.9791,                0.61864,                 0.9514,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2921,                0.72184,                 1.0389,                0.93672,                0.78419,                0.83984,                0.56022,                 1.0154,                0.64651,                0.95352,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2736,                0.69543,                 1.0312,                0.94467,                0.77838,                0.85099,                0.58773,                0.99555,                0.58666,                0.94544,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2778,                 0.7034,                 1.0384,                0.93415,                0.79046,                0.84654,                0.57563,                 1.0048,                 0.6138,                0.95312,               0.000911,               0.000911,               0.000911
                     57,                 1.2695,                0.69692,                 1.0291,                 0.9553,                0.78014,                0.84832,                 0.5661,                  1.023,                0.60693,                0.95142,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2838,                0.71202,                 1.0251,                0.94661,                0.78318,                0.85265,                 0.5787,                0.99747,                0.59714,                0.93697,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2691,                0.69961,                 1.0254,                0.94802,                0.77508,                0.84778,                0.58004,                 0.9996,                0.60957,                0.94413,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2733,                0.69619,                 1.0325,                0.93841,                0.79129,                0.84765,                0.57962,                  1.018,                0.60725,                0.94979,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2715,                0.69256,                 1.0288,                0.93837,                0.78116,                0.84978,                0.58597,                0.99859,                0.58598,                0.94145,               0.000812,               0.000812,               0.000812
                     62,                 1.2582,                0.68274,                  1.019,                0.94545,                 0.7771,                0.84948,                  0.577,                 1.0145,                0.60333,                 0.9476,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.258,                0.67036,                  1.023,                0.93936,                0.78478,                0.84958,                 0.5834,                 1.0053,                0.58361,                0.94701,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2459,                0.67172,                 1.0209,                0.94082,                0.78928,                0.85402,                0.57936,                 1.0107,                 0.5814,                0.94381,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.251,                0.67865,                 1.0245,                0.94721,                0.78318,                0.84438,                 0.5699,                 1.0164,                0.59468,                0.95263,              0.0007328,              0.0007328,              0.0007328
